Datum;Zugnummer;Halt;an;ab
2026-06-22;EC 458;Dresden-Neustadt;21:08;21:10
2026-06-22;EC 458;Riesa;21:40;21:41
2026-06-22;EC 458;Leipzig Hbf;22:16;23:52
2026-06-23;EC 458;Fulda;04:21;04:23
2026-06-23;EC 458;Mannheim Hbf;05:58;06:01
2026-06-23;EC 458;Karlsruhe Hbf;06:27;06:34
2026-06-23;EC 458;Baden-Baden;06:51;06:53
2026-06-23;EC 458;Offenburg;07:14;07:17
2026-06-23;EC 458;Freiburg(Breisgau) Hbf;07:47;07:48
2026-06-23;EC 458;Basel Bad Bf;08:18;08:20
2026-06-23;EC 458;Basel SBB;08:28;08:52
2026-06-23;EC 458;Zürich HB;10:10;
2026-06-21;NJ 408;Berlin Hbf;;20:54
2026-06-21;NJ 408;Berlin Südkreuz;20:58;21:00
2026-06-21;NJ 408;Lutherstadt Wittenberg Hbf;21:38;21:44
2026-06-21;NJ 408;Bitterfeld;22:08;22:10
2026-06-21;NJ 408;Halle(Saale)Hbf;22:27;22:29
2026-06-21;NJ 408;Leipzig Hbf;22:49;23:52
2026-06-22;NJ 408;Fulda;03:59;04:01
2026-06-22;NJ 408;Mannheim Hbf;05:33;05:35
2026-06-22;NJ 408;Karlsruhe Hbf;06:03;06:16
2026-06-22;NJ 408;Baden-Baden;06:33;06:35
2026-06-22;NJ 408;Offenburg;07:00;07:02
2026-06-22;NJ 408;Freiburg(Breisgau) Hbf;07:32;07:34
2026-06-22;NJ 408;Basel Bad Bf;08:07;08:07
2026-06-22;NJ 408;Basel SBB;08:14;08:33
2026-06-22;NJ 408;Zürich HB;09:46;
2026-06-22;NJ 408;Berlin Hbf;;20:52
2026-06-22;NJ 408;Berlin Südkreuz;20:58;21:00
2026-06-22;NJ 408;Lutherstadt Wittenberg Hbf;21:36;21:41
2026-06-22;NJ 408;Bitterfeld;21:59;22:01
2026-06-22;NJ 408;Halle(Saale)Hbf;22:16;22:28
2026-06-22;NJ 408;Leipzig Hbf;22:47;23:52
2026-06-23;NJ 408;Fulda;04:21;04:23
2026-06-23;NJ 408;Mannheim Hbf;05:58;06:01
2026-06-23;NJ 408;Karlsruhe Hbf;06:27;06:34
2026-06-23;NJ 408;Baden-Baden;06:51;06:53
2026-06-23;NJ 408;Offenburg;07:14;07:17
2026-06-23;NJ 408;Freiburg(Breisgau) Hbf;07:47;07:48
2026-06-23;NJ 408;Basel Bad Bf;08:18;08:20
2026-06-23;NJ 408;Basel SBB;08:28;08:52
2026-06-23;NJ 408;Zürich HB;10:10;
2026-06-22;IC 408;Oostende;;06:59
2026-06-22;IC 408;Brugge;07:14;07:16
2026-06-22;IC 408;Zedelgem;07:24;07:25
2026-06-22;IC 408;Torhout;07:31;07:32
2026-06-22;IC 408;Lichtervelde;07:36;07:38
2026-06-22;IC 408;Roeselare;07:45;07:46
2026-06-22;IC 408;Izegem;07:52;07:53
2026-06-22;IC 408;Ingelmunster;07:56;07:58
2026-06-22;IC 408;Kortrijk;08:06;08:15
2026-06-22;IC 408;Harelbeke;08:20;08:21
2026-06-22;IC 408;Waregem;08:27;08:28
2026-06-22;IC 408;Deinze;08:35;08:37
2026-06-22;IC 408;De Pinte;08:42;08:45
2026-06-22;IC 408;Gent St Pieters;08:51;08:55
2026-06-22;IC 408;Bruxelles Midi;09:24;09:29
2026-06-22;IC 408;Bruxelles-Central;09:33;09:35
2026-06-22;IC 408;Bruxelles-Nord;09:38;09:41
2026-06-22;IC 408;Leuven;09:56;
